Garment,Split,Normalised Coverage,Max IoU,Colour
Longsleeve,Train,1.0,0.9538888888888889,"[46, 111, 101]"
Longsleeve,Train,0.5735831022611042,0.5470347648261759,"[202, 187, 180]"
Longsleeve,Train,0.48562266534372217,0.31800766283524906,"[194, 178, 117]"
Longsleeve,Train,0.5140350921969776,0.4612756264236902,"[255, 255, 255]"
Longsleeve,Train,0.5356109984349856,0.5146746065504041,"[196, 180, 118]"
Longsleeve,Train,1.0,0.9668534080298786,"[255, 255, 255]"
Longsleeve,Train,0.9997188886579708,0.962987012987013,"[255, 255, 255]"
Longsleeve,Train,0.9995862842046355,0.9546079779917469,"[207, 220, 218]"
Longsleeve,Train,0.9997537174770835,0.9614814814814815,"[255, 155, 182]"
Longsleeve,Train,0.576088342056164,0.23595505617977527,"[44, 230, 185]"
Longsleeve,Train,0.4127579464884723,0.402465166130761,"[109, 100, 144]"
Longsleeve,Train,0.5607929036780407,0.43810032017075773,"[164, 146, 159]"
Longsleeve,Train,0.5892930699223314,0.5396405919661733,"[113, 103, 149]"
Longsleeve,Train,0.46430218601406165,0.46298472385428907,"[104, 127, 60]"
Longsleeve,Train,0.6144368913561948,0.5487493619193466,"[234, 210, 211]"
Longsleeve,Train,0.4365708520220655,0.43273691186216034,"[188, 189, 245]"
Longsleeve,Train,0.6773390100112151,0.5698005698005698,"[68, 140, 130]"
Longsleeve,Train,0.8921461009010017,0.32601713062098503,"[117, 107, 154]"
Longsleeve,Train,1.0,0.968482905982906,"[204, 247, 212]"
Longsleeve,Train,0.47516546850265595,0.42397959183673467,"[228, 205, 205]"
Longsleeve,Train,0.5330283532528722,0.48092643051771117,"[62, 57, 61]"
Longsleeve,Train,0.5328344343533403,0.43782929399367754,"[12, 41, 65]"
Longsleeve,Train,0.8229027193604109,0.6746909564085881,"[200, 212, 210]"
Longsleeve,Train,0.6127538058792826,0.5743685687558466,"[128, 253, 212]"
Longsleeve,Train,1.0,0.9627064464571125,"[255, 235, 246]"
Longsleeve,Train,0.44090160168515663,0.3917288914417002,"[67, 139, 129]"
Longsleeve,Train,0.8281731283509394,0.09219457013574661,"[45, 109, 98]"
Longsleeve,Train,0.5733278939480302,0.4423076923076923,"[249, 213, 239]"
Longsleeve,Train,0.5219120421784061,0.5,"[106, 130, 62]"
Longsleeve,Train,0.5202695115724371,0.470703125,"[150, 96, 148]"
Longsleeve,Train,0.6226351326653045,0.606239460370995,"[199, 182, 120]"
Longsleeve,Train,1.0,0.9636752136752137,"[204, 246, 212]"
Longsleeve,Train,1.0,0.948488241881299,"[255, 255, 255]"
Longsleeve,Train,0.6590050679208506,0.49293563579277866,"[43, 104, 94]"
Longsleeve,Train,0.5470052079173784,0.5120967741935484,"[255, 255, 255]"
Longsleeve,Train,0.9998681308678101,0.969300739056282,"[255, 255, 255]"
Longsleeve,Train,1.0,0.9712871287128713,"[255, 180, 204]"
Longsleeve,Train,1.0,0.9690431519699813,"[255, 255, 255]"
Longsleeve,Train,0.9993188790100603,0.980528511821975,"[207, 220, 218]"
Longsleeve,Train,0.3933182226471275,0.37082691319979455,"[240, 216, 217]"
Longsleeve,Train,0.6682525117404863,0.2745874587458746,"[255, 255, 255]"
Longsleeve,Train,0.6975458027199192,0.6015820149875104,"[205, 188, 124]"
Longsleeve,Train,0.5777146067067717,0.48921991375931007,"[187, 249, 223]"
Longsleeve,Train,0.9998759282187311,0.9798081776880363,"[144, 154, 163]"
Longsleeve,Train,0.7639029515001077,0.2760493827160494,"[158, 154, 147]"
Longsleeve,Train,0.6967280129063514,0.6507832898172323,"[255, 255, 255]"
Longsleeve,Train,0.5589123325724119,0.5375,"[67, 66, 61]"
Longsleeve,Train,0.7166788806871343,0.6107879428873612,"[116, 106, 153]"
Longsleeve,Train,0.4907681254722068,0.4386594853381209,"[98, 218, 110]"
Longsleeve,Train,0.48964882296649026,0.45929945732609767,"[149, 95, 148]"
Longsleeve,Train,0.5940046994171994,0.516336368505624,"[218, 161, 233]"
Longsleeve,Train,0.6909669579707206,0.638616417139907,"[12, 42, 66]"
Longsleeve,Train,0.7356879156039633,0.5587899543378996,"[69, 142, 133]"
Longsleeve,Train,1.0,0.974657881398885,"[196, 185, 190]"
Longsleeve,Train,0.48702827713607405,0.4731610337972167,"[188, 189, 245]"
Longsleeve,Train,1.0,0.9892066918510524,"[255, 236, 246]"
Longsleeve,Train,1.0,0.9578347578347578,"[101, 52, 91]"
Longsleeve,Train,0.6858267613560991,0.401323706377858,"[255, 125, 175]"
Longsleeve,Train,0.6069456168173933,0.5405546834118262,"[12, 41, 65]"
Longsleeve,Train,0.5814997379846883,0.48522299838796346,"[182, 220, 189]"
Longsleeve,Train,0.5420493316183917,0.4646153846153846,"[183, 155, 141]"
Longsleeve,Train,0.6338996931747853,0.5453644025780863,"[228, 205, 205]"
Longsleeve,Train,0.6204174941017294,0.22496570644718794,"[144, 197, 153]"
Longsleeve,Train,0.610808955524773,0.5521339816315505,"[67, 66, 61]"
Longsleeve,Train,0.4040961407033171,0.38543046357615895,"[193, 194, 252]"
Longsleeve,Train,0.5331464946203938,0.5023017902813299,"[192, 178, 172]"
Longsleeve,Train,1.0,0.974798927613941,"[255, 236, 246]"
Longsleeve,Train,0.7069510579905177,0.38786279683377306,"[255, 255, 255]"
Longsleeve,Train,0.5505327897537631,0.5134907251264755,"[202, 185, 122]"
Longsleeve,Train,0.6120353979067928,0.41285619615639496,"[181, 182, 237]"
Longsleeve,Train,0.5133085898522053,0.453027139874739,"[12, 40, 64]"
Longsleeve,Train,0.5328178667344763,0.5204819277108433,"[182, 241, 217]"
Longsleeve,Train,0.4521066901089449,0.42068595927116825,"[42, 217, 175]"
Longsleeve,Train,0.5971327801104105,0.543036750483559,"[157, 101, 155]"
Longsleeve,Train,0.6503715162457238,0.5942675159235669,"[255, 255, 255]"
Longsleeve,Train,0.8068816575950192,0.1291139240506329,"[255, 222, 249]"
Longsleeve,Train,0.4593420839049254,0.3829309376754632,"[154, 137, 150]"
Longsleeve,Train,0.7688456825665789,0.6436170212765957,"[133, 255, 222]"
Longsleeve,Train,0.5940198634647778,0.5737986270022883,"[67, 138, 128]"
Longsleeve,Train,0.9997923877029466,0.9626168224299065,"[178, 159, 173]"
Longsleeve,Train,0.6699453949544927,0.5111301369863014,"[64, 58, 62]"
Longsleeve,Train,0.4163649470204825,0.39906303236797275,"[201, 184, 121]"
Longsleeve,Train,0.6424415403287508,0.5465553235908142,"[154, 153, 153]"
Longsleeve,Train,0.5813281574330202,0.5432946145723336,"[223, 165, 238]"
Longsleeve,Train,0.5129471793819911,0.49759229534510435,"[114, 104, 151]"
Longsleeve,Train,0.9990786070415171,0.9764411027568922,"[255, 228, 255]"
Longsleeve,Train,0.6191509554717142,0.5478128179043744,"[185, 175, 180]"
Longsleeve,Train,0.5696974640294268,0.545372460496614,"[64, 58, 62]"
Longsleeve,Train,1.0,0.9803921568627451,"[48, 246, 198]"
Longsleeve,Train,0.47906597115539323,0.45670391061452514,"[190, 201, 199]"
Longsleeve,Train,0.5220857032816522,0.42934782608695654,"[68, 67, 62]"
Longsleeve,Train,0.574221542609672,0.5440036479708162,"[151, 206, 160]"
Longsleeve,Train,0.9993699487753704,0.9662921348314607,"[104, 231, 117]"
Longsleeve,Train,0.5969719242211924,0.5230540406544373,"[255, 171, 195]"
Longsleeve,Train,1.0,0.965183752417795,"[164, 105, 163]"
Longsleeve,Train,0.6135011939002806,0.5688976377952756,"[255, 169, 192]"
Longsleeve,Train,0.5517861871849826,0.5178268251273345,"[201, 184, 121]"
Longsleeve,Train,0.565519791258887,0.5521512385919165,"[254, 254, 254]"
Longsleeve,Train,0.650611637898973,0.5748469671675014,"[43, 105, 95]"
Longsleeve,Train,0.5144292270531753,0.47714716223003517,"[247, 143, 167]"
Longsleeve,Train,0.47647005527043385,0.45944380069524915,"[90, 47, 82]"
