"Step","lagarnet_single_picker_single_primitive_multi_longsleeve_flattening_longsleeve_only - val/reward/normalised_coverage_last_mean","lagarnet_single_picker_single_primitive_multi_longsleeve_flattening_longsleeve_only - val/reward/normalised_coverage_last_mean__MIN","lagarnet_single_picker_single_primitive_multi_longsleeve_flattening_longsleeve_only - val/reward/normalised_coverage_last_mean__MAX"
"1000","0.40191999999999994","0.40191999999999994","0.40191999999999994"
"2000","0.44657","0.44657","0.44657"
"3000","0.44994000000000006","0.44994000000000006","0.44994000000000006"
"4000","0.45968","0.45968","0.45968"
"5000","0.53722","0.53722","0.53722"
"6000","0.54032","0.54032","0.54032"
"7000","0.57695","0.57695","0.57695"
"8000","0.48396000000000006","0.48396000000000006","0.48396000000000006"
"9000","0.68313","0.68313","0.68313"
"10000","0.5306500000000001","0.5306500000000001","0.5306500000000001"
"11000","0.6475799999999999","0.6475799999999999","0.6475799999999999"
"12000","0.74791","0.74791","0.74791"
"13000","0.79531","0.79531","0.79531"
"14000","0.8351000000000001","0.8351000000000001","0.8351000000000001"
"15000","0.8736700000000001","0.8736700000000001","0.8736700000000001"
"16000","0.6789799999999999","0.6789799999999999","0.6789799999999999"
"17000","0.68082","0.68082","0.68082"
"18000","0.7426600000000001","0.7426600000000001","0.7426600000000001"
"19000","0.81151","0.81151","0.81151"
"20000","0.8655799999999999","0.8655799999999999","0.8655799999999999"
"21000","0.7535399999999999","0.7535399999999999","0.7535399999999999"
"22000","0.70769","0.70769","0.70769"
"23000","0.7762800000000001","0.7762800000000001","0.7762800000000001"
"24000","0.76502","0.76502","0.76502"
"25000","0.77159","0.77159","0.77159"
"26000","0.85781","0.85781","0.85781"
"27000","0.85477","0.85477","0.85477"
"28000","0.74883","0.74883","0.74883"
"29000","0.85756","0.85756","0.85756"
"30000","0.8278700000000001","0.8278700000000001","0.8278700000000001"
"31000","0.7642200000000001","0.7642200000000001","0.7642200000000001"
"32000","0.77684","0.77684","0.77684"
"33000","0.7739999999999999","0.7739999999999999","0.7739999999999999"
"34000","0.83492","0.83492","0.83492"
"35000","0.7715599999999999","0.7715599999999999","0.7715599999999999"
"36000","0.7936300000000001","0.7936300000000001","0.7936300000000001"
"37000","0.61465","0.61465","0.61465"
"38000","0.8471","0.8471","0.8471"
"39000","0.75264","0.75264","0.75264"
"40000","0.8491199999999999","0.8491199999999999","0.8491199999999999"
"41000","0.7416699999999999","0.7416699999999999","0.7416699999999999"
"42000","0.72308","0.72308","0.72308"
"43000","0.7498199999999999","0.7498199999999999","0.7498199999999999"
"44000","0.8284100000000001","0.8284100000000001","0.8284100000000001"
