Model,Total | SR,Total | IoU,Total | Last_SR,Total | NC,Total | NI,Canon-Longsleeve | IoU,Dress | IoU,Longsleeve | IoU,Skirt | IoU,Trousers | IoU,Canon-Longsleeve | Last_SR,Dress | Last_SR,Longsleeve | Last_SR,Skirt | Last_SR,Trousers | Last_SR,Canon-Longsleeve | NC,Dress | NC,Longsleeve | NC,Skirt | NC,Trousers | NC,Canon-Longsleeve | NI,Dress | NI,Longsleeve | NI,Skirt | NI,Trousers | NI,Canon-Longsleeve | SR,Dress | SR,Longsleeve | SR,Skirt | SR,Trousers | SR
[all_sim] v108_hindsight,0.7533333333333333,0.7558366666666667,0.3466666666666666,0.912988,0.7980419999999999,0.7197966666666668,0.8083066666666665,0.7081833333333335,0.8141066666666669,0.72879,0.4,0.5333333333333333,0.2,0.3333333333333333,0.26666666666666666,0.8936066666666667,0.9450766666666666,0.9093566666666667,0.9440400000000001,0.8728599999999999,0.7441999999999999,0.8798499999999999,0.79335,0.8681366666666667,0.7046733333333333,0.6666666666666666,0.8666666666666667,0.6,0.9666666666666667,0.6666666666666666
[all_sim] v150_hindsight,0.7466666666666667,0.7488786666666666,0.6066666666666667,0.8836533333333334,0.7301986666666667,0.67395,0.7927699999999999,0.7205566666666666,0.80913,0.7479866666666666,0.2,0.8333333333333334,0.5333333333333333,0.8333333333333334,0.6333333333333333,0.82159,0.9186,0.9021500000000001,0.9222833333333333,0.8536433333333332,0.5939433333333333,0.8114866666666666,0.7714166666666666,0.8175666666666664,0.6565799999999998,0.43333333333333335,0.9333333333333333,0.6333333333333333,1.0,0.7333333333333333
[all_sim] v126_hindsight,0.7466666666666666,0.7622246666666668,0.6066666666666667,0.8949199999999999,0.7580486666666666,0.7187333333333333,0.7746566666666667,0.7545333333333333,0.8126733333333334,0.7505266666666668,0.5333333333333333,0.6333333333333333,0.43333333333333335,0.8666666666666667,0.5666666666666667,0.8689433333333333,0.9185166666666665,0.9135000000000001,0.9133433333333334,0.8602966666666666,0.7077366666666666,0.8082333333333334,0.8019166666666667,0.7952766666666665,0.67708,0.6666666666666666,0.7666666666666667,0.7,0.9333333333333333,0.6666666666666666
[all_sim] v132_hindsight,0.7333333333333333,0.7427006666666667,0.5800000000000001,0.8949360000000001,0.7595193333333332,0.7063600000000001,0.7788866666666666,0.7177433333333333,0.7915566666666667,0.7189566666666667,0.5333333333333333,0.7333333333333333,0.36666666666666664,0.8333333333333334,0.43333333333333335,0.8657999999999999,0.9317099999999999,0.9033866666666668,0.9113199999999999,0.8624633333333331,0.6906366666666667,0.83709,0.7944099999999998,0.7870466666666666,0.6884133333333333,0.5666666666666667,0.8666666666666667,0.6333333333333333,0.9333333333333333,0.6666666666666666
[all_sim] v137_hindsight,0.7266666666666667,0.753156,0.6,0.8957913333333334,0.7632640000000002,0.7255300000000001,0.7736766666666666,0.73447,0.8008633333333334,0.7312399999999999,0.4666666666666667,0.6,0.6333333333333333,0.8,0.5,0.8677366666666667,0.9281133333333335,0.9074300000000001,0.9153666666666668,0.86031,0.6977166666666668,0.83451,0.8018866666666666,0.8010066666666666,0.6812,0.6333333333333333,0.8,0.7,0.9666666666666667,0.5333333333333333
[all_sim] v145_hindsight,0.7266666666666667,0.751678,0.5533333333333333,0.8886826666666667,0.7452440000000001,0.6778866666666666,0.7901766666666666,0.7465966666666667,0.80634,0.73739,0.3,0.6666666666666666,0.4666666666666667,0.8333333333333334,0.5,0.8377466666666666,0.90947,0.9197533333333336,0.9148166666666668,0.8616266666666667,0.6341300000000001,0.7947433333333334,0.8189400000000001,0.7970900000000001,0.6813166666666667,0.43333333333333335,0.8333333333333334,0.7333333333333333,1.0,0.6333333333333333
[all_sim] v124_hindsight,0.7066666666666668,0.7313686666666667,0.44666666666666666,0.8804100000000001,0.7274193333333334,0.6709233333333334,0.7692666666666667,0.7352666666666667,0.8036033333333333,0.6777833333333333,0.16666666666666666,0.6333333333333333,0.3333333333333333,0.7333333333333333,0.36666666666666664,0.8201266666666668,0.9081333333333333,0.91237,0.92256,0.8388599999999999,0.58652,0.79143,0.8026133333333333,0.8208533333333335,0.6356800000000001,0.43333333333333335,0.8666666666666667,0.7666666666666667,0.9666666666666667,0.5
[all_sim] v104_hindsight,0.7066666666666667,0.7532526666666667,0.36666666666666664,0.9125106666666667,0.8048893333333333,0.7283933333333331,0.8035300000000001,0.7035499999999999,0.82117,0.70962,0.4666666666666667,0.5,0.16666666666666666,0.4,0.3,0.9003066666666666,0.9481800000000002,0.8947466666666666,0.94939,0.86993,0.7878533333333333,0.8718566666666666,0.7721800000000001,0.8816566666666666,0.7109000000000001,0.6,0.8333333333333334,0.6,0.9,0.6
[all_sim] v111_hindsight,0.7066666666666667,0.7294546666666667,0.2866666666666666,0.8960633333333332,0.7677760000000001,0.6767733333333334,0.7939066666666666,0.69987,0.7776866666666665,0.6990366666666666,0.16666666666666666,0.36666666666666664,0.16666666666666666,0.4666666666666667,0.26666666666666666,0.8566999999999999,0.95259,0.8887666666666668,0.9135333333333333,0.8687266666666668,0.6905666666666667,0.8862566666666666,0.7529866666666669,0.8074200000000001,0.7016500000000001,0.5,0.9,0.5666666666666667,0.8333333333333334,0.7333333333333333
[all_sim] v136_hindsight,0.7,0.7268653333333333,0.5599999999999999,0.8753653333333334,0.7190380000000001,0.6821800000000001,0.7617866666666664,0.7104366666666665,0.7801233333333335,0.6997999999999999,0.36666666666666664,0.6333333333333333,0.4666666666666667,0.7666666666666667,0.5666666666666667,0.8320766666666667,0.9122699999999999,0.88807,0.9033666666666668,0.8410433333333335,0.6312566666666667,0.7977833333333334,0.7447566666666668,0.7754200000000001,0.6459733333333334,0.43333333333333335,0.8333333333333334,0.6,0.9333333333333333,0.7
